codigo_ibge,ano,deficitAgua,deficitEsgoto,deficitResiduos
2603207,2020,73.53999999999999,,
2603207,2021,71.86,,
2603207,2022,69.36,,
2603207,2023,72.34,,
2603306,2015,64.78,,
2603306,2016,64.22,,
2603306,2017,62.81,,
2603306,2018,62.93,,
2603306,2019,62.12,,
2603306,2020,61.75,,
2603306,2021,60.7,,
2603306,2022,60.71,,
2603306,2023,66.47,,
2603405,2015,53.89,,
2603405,2016,52.95,,
2603405,2017,51.22,,
2603405,2018,45.77,,
2603405,2019,48.73,,
2603405,2020,47.97,,
2603405,2021,47.21,,
2603405,2022,41.32,53.87,
2603405,2023,56.46,,
2603454,2015,21.569999999999997,98.19,
2603454,2016,23.370000000000005,97.87,
2603454,2017,23.180000000000007,96.44,
2603454,2018,20.739999999999995,96.31,
2603454,2019,21.010000000000005,95.79,
2603454,2020,20.760000000000005,95.66,
2603454,2021,20.629999999999995,97.91,
2603454,2022,15.25,99.13,
2603454,2023,30.47,,
2603504,2015,28.540000000000006,,
2603504,2016,27.40000000000001,47.26,
2603504,2017,26.72,42.71,
2603504,2018,25.41,,
2603504,2019,24.430000000000007,,
2603504,2020,23.86,,
2603504,2021,19.840000000000003,,
2603504,2022,10.739999999999997,,
2603504,2023,24.019999999999996,,
2603603,2015,21.53,,
2603603,2016,18.41,,
2603603,2017,17.11,,
2603603,2018,13.010000000000003,,
2603603,2019,12.769999999999996,,
2603603,2020,11.879999999999995,,
2603603,2021,10.799999999999995,,
2603603,2022,0.0,,
2603603,2023,15.489999999999995,,
2603702,2015,42.9,,
2603702,2016,40.35,,
2603702,2017,38.51,,
2603702,2018,37.17,,
2603702,2019,35.45,,
2603702,2020,34.459999999999994,63.36,
2603702,2021,32.849999999999994,,
2603702,2022,31.340000000000003,,
2603702,2023,41.69,,
2603801,2015,64.53,,
2603801,2016,64.50999999999999,,
2603801,2017,64.21000000000001,,
2603801,2018,62.13,0.0,
2603801,2019,60.56,,
2603801,2020,59.59,,
2603801,2021,57.47,,
2603801,2022,52.85,,
2603801,2023,62.57,,
2603900,2015,38.03,,
2603900,2016,35.95,,
2603900,2017,34.400000000000006,,
2603900,2018,32.14,39.58,
2603900,2019,30.379999999999995,36.15,
2603900,2020,28.86,38.92,
2603900,2021,27.489999999999995,31.989999999999995,
2603900,2022,23.489999999999995,47.32,
2603900,2023,46.6,,
2603926,2015,74.61,0.0,
2603926,2020,81.26,20.0,
2603926,2022,78.76,17.53,
2603926,2023,83.03,,
2604007,2015,6.180000000000007,,
2604007,2016,3.480000000000004,,
2604007,2017,2.1500000000000057,,
2604007,2018,1.1200000000000043,,
2604007,2019,0.9300000000000068,,
2604007,2020,0.5600000000000023,,
2604007,2021,0.3100000000000023,,
2604007,2022,0.0,,
2604007,2023,14.030000000000001,,
2604106,2015,2.1099999999999994,55.67,
2604106,2016,0.0,53.34,
2604106,2017,0.0,52.57,
2604106,2018,0.0,52.46,
2604106,2019,0.0,52.29,
2604106,2020,0.0,52.01,
2604106,2021,0.0,52.21,
2604106,2022,0.0,59.13,
2604106,2023,6.340000000000003,,
2604155,2015,88.26,,
2604155,2016,88.36,,
2604155,2017,80.27,,
2604155,2018,79.05,,
2604155,2019,78.77,,
2604155,2020,78.67,0.0,
2604155,2021,77.69,0.0,
2604155,2022,73.11,0.0,
